GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
json,dev.mccue.json.internal,JsonReaderMethods,131,496,49,90,56,158,48,59,0,17
json,dev.mccue.json.internal,Handlers.BaseTreeValueHandler,12,35,0,0,6,10,3,6,3,6
json,dev.mccue.json.internal,ArrayBuilderImpl,29,35,3,1,5,7,5,5,3,5
json,dev.mccue.json.internal,JsonIntegerImpl,33,27,0,0,8,8,8,6,8,6
json,dev.mccue.json.internal,JsonDecimalImpl,53,12,2,0,12,4,13,2,12,2
json,dev.mccue.json.internal,Handlers.TreeArrayHandler,26,47,0,0,4,13,3,7,3,7
json,dev.mccue.json.internal,ArrayImpl,147,44,0,0,34,11,30,8,30,8
json,dev.mccue.json.internal,JsonReaderMethods.new Enum() {...},0,57,0,0,0,10,0,1,0,1
json,dev.mccue.json.internal,MapUtil,0,34,0,2,0,7,0,2,0,1
json,dev.mccue.json.internal,JsonWriter,125,304,35,50,30,85,26,35,2,7
json,dev.mccue.json.internal,JsonWriter.OptionsWithIndentDepth,20,27,1,1,3,6,4,5,3,5
json,dev.mccue.json.internal,Handlers.TreeValueHandler,10,42,0,0,4,9,2,6,2,6
json,dev.mccue.json.internal,ObjectImpl,125,43,0,0,25,13,22,7,22,7
json,dev.mccue.json.internal,Handlers.TreeObjectHandler,0,36,0,0,0,6,0,5,0,5
json,dev.mccue.json.internal,ObjectBuilder,26,36,3,1,4,7,5,5,3,5
json,dev.mccue.json.internal,StringImpl,33,41,2,2,7,10,9,6,7,6
json,dev.mccue.json.serialization,JsonSerializationProxy,0,13,0,0,0,4,0,2,0,2
json,dev.mccue.json,JsonReader,0,17,0,0,0,5,0,2,0,2
json,dev.mccue.json,Json,122,307,10,32,27,84,17,55,8,43
json,dev.mccue.json,JsonInteger,0,3,0,0,0,1,0,1,0,1
json,dev.mccue.json,JsonReader.new Iterator() {...},4,42,3,7,1,10,3,5,0,3
json,dev.mccue.json,JsonNumber,24,80,5,7,5,15,6,10,1,9
json,dev.mccue.json,JsonNull,6,16,0,0,1,6,1,5,1,5
json,dev.mccue.json,JsonReadOptions,0,19,0,0,0,6,0,3,0,3
json,dev.mccue.json,JsonBoolean,6,6,0,2,1,1,1,2,1,1
json,dev.mccue.json,JsonArray.Builder,80,5,0,0,17,1,17,1,17,1
json,dev.mccue.json,JsonDecodeException,270,0,30,0,52,0,27,0,11,0
json,dev.mccue.json,JsonDecodeException.AtField,26,0,0,0,9,0,4,0,4,0
json,dev.mccue.json,JsonArray,17,28,0,0,5,5,3,5,3,5
json,dev.mccue.json,JsonDecodeException.AtIndex,21,0,0,0,8,0,4,0,4,0
json,dev.mccue.json,JsonDecodeException.Failure,20,0,0,0,8,0,4,0,4,0
json,dev.mccue.json,JsonWriteOptions,49,24,1,1,5,5,5,2,4,2
json,dev.mccue.json,JsonTrue,8,16,0,0,2,6,2,5,2,5
json,dev.mccue.json,JsonObject,17,54,0,0,5,12,3,6,3,6
json,dev.mccue.json,JsonString,0,5,0,0,0,1,0,1,0,1
json,dev.mccue.json,JsonFalse,8,16,0,0,2,6,2,5,2,5
json,dev.mccue.json,JsonEncodable,0,5,0,0,0,2,0,1,0,1
json,dev.mccue.json,JsonReadOptions.EOFBehavior,0,15,0,0,0,3,0,1,0,1
json,dev.mccue.json,JsonDecodeException.OneOf,33,0,2,0,9,0,5,0,4,0
json,dev.mccue.json,JsonDecimal,0,3,0,0,0,1,0,1,0,1
json,dev.mccue.json,JsonDecoder,657,135,43,11,139,28,80,15,54,14
json,dev.mccue.json,JsonReadException,88,15,0,0,18,4,17,3,17,3
json,dev.mccue.json,JsonEncoder,18,0,0,0,3,0,4,0,4,0
json,dev.mccue.json,JsonObject.Builder,96,28,0,0,17,5,17,5,17,5
json,dev.mccue.json.stream,JsonEvent.Number,6,0,0,0,1,0,1,0,1,0
json,dev.mccue.json.stream,JsonEvent.ArrayEnd,3,0,0,0,1,0,1,0,1,0
json,dev.mccue.json.stream,JsonEvent.Field,6,0,0,0,1,0,1,0,1,0
json,dev.mccue.json.stream,JsonEvent.Null,3,0,0,0,1,0,1,0,1,0
json,dev.mccue.json.stream,JsonEvent.True,3,0,0,0,1,0,1,0,1,0
json,dev.mccue.json.stream,JsonGenerator,169,0,10,0,51,0,25,0,16,0
json,dev.mccue.json.stream,JsonEvent.False,3,0,0,0,1,0,1,0,1,0
json,dev.mccue.json.stream,JsonEvent.ObjectStart,3,0,0,0,1,0,1,0,1,0
json,dev.mccue.json.stream,JsonEvent.ArrayStart,3,0,0,0,1,0,1,0,1,0
json,dev.mccue.json.stream,JsonStreamReadOptions,0,3,0,0,0,2,0,1,0,1
json,dev.mccue.json.stream,JsonEvent.String,6,0,0,0,1,0,1,0,1,0
json,dev.mccue.json.stream,JsonEvent.ObjectEnd,3,0,0,0,1,0,1,0,1,0
